Gene,Group,FAM83D,GHR,ADH4,LCAT,4-gene signature
HCC325,Tumor,1.474839915,4.247666362,5.437182454,2.164143615,2.896679849
HCC326,Tumor,2.662009708,5.109573019,9.075623155,5.391224717,4.419133285
HCC327,Tumor,4.012883458,3.555156487,7.455328741,2.693552748,16.44216251
HCC328,Tumor,4.7254864,5.406201093,0.832104975,1.749081544,9.075335861
HCC329,Tumor,4.834642204,2.944480298,6.87007514,2.735114439,19.86579804
HCC330,Tumor,1.968386083,3.821836318,6.292986251,4.288315738,1.864662093
HCC331,Tumor,1.389195628,4.244590576,5.589106426,1.24234702,4.949155642
HCC331N,Normal,0.533510523,5.072580474,9.292808892,6.793059616,-7.54932633
HCC332,Tumor,1.963312459,2.254074858,6.926442422,4.706070209,4.132886101
HCC333,Tumor,2.090896778,4.265531487,9.536972354,3.206698543,9.119973684
HCC334,Tumor,1.646506005,4.581802305,8.090805641,2.731771715,5.735301467
HCC337,Tumor,3.424129866,2.953615392,10.13895459,2.336985995,19.68580923
HCC337N,Normal,0.306177064,4.974446254,10.46412912,7.335096426,-7.906360308
HCC338,Tumor,0.870611708,5.772507118,10.33781201,2.510563225,4.543663088
HCC339,Tumor,1.975284969,1.890809704,9.734230027,0.713668544,18.3705101
HCC340,Tumor,0.897862296,1.671968133,10.11872343,4.56396402,5.5760068
HCC341,Tumor,1.066784273,3.864713592,8.81214633,4.460906283,1.322492206
HCC342,Tumor,1.242477513,4.451938179,5.368885799,3.67327532,-2.071305899
HCC345,Tumor,3.94106705,2.625773124,4.860267893,1.889737136,15.56084449
HCC350,Tumor,0.55247151,3.192022263,5.423639414,2.276943549,0.271232546
HCC350N,Normal,0.488277454,4.487742297,9.36239471,6.696000771,-6.535993327
HCC351,Tumor,1.968398617,3.069176095,10.15420936,2.06839841,14.00060547
HCC359,Tumor,4.392077778,1.451358836,5.981208113,3.395467712,17.32462672
HCC361,Tumor,3.034995849,4.608882499,2.006591022,3.580786473,0.504504158
HCC362,Tumor,2.104668106,3.834327943,7.025721496,2.969538068,6.641163942
HCC364,Tumor,2.964853088,3.763594396,6.814091395,2.973530644,10.06895
HCC366,Tumor,0.871926424,3.824043269,9.119109033,4.177739955,1.685372333
HCC367,Tumor,3.208839973,4.526193351,11.61967061,3.844708526,15.06280339
HCC368,Tumor,3.125654903,5.011009247,3.484297347,2.517155989,5.012316364
HCC372,Tumor,0.539750412,4.094109955,8.36056133,4.873938912,-2.905680926
HCC373,Tumor,2.769740431,3.753645609,11.15251434,2.897640065,15.90060688
HCC374,Tumor,1.217528532,2.99920666,4.742084166,1.501820247,4.199894474
HCC378,Tumor,1.861352759,3.537762724,4.151290262,3.449480159,0.631023753
HCC382,Tumor,2.434325313,2.779778913,8.877087996,2.079601347,14.47787467
HCC384,Tumor,0.79883191,5.042478085,9.560097499,5.351602254,-2.564997117
HCC386,Tumor,3.87808761,2.942609462,9.142157403,1.733194659,21.57274656
HCC387,Tumor,3.880576609,5.967511299,9.548071466,3.666820773,13.09831424
HCC388,Tumor,2.571595512,3.050651967,7.056799667,3.210863398,9.262978791
HCC391,Tumor,1.532675032,1.795572054,9.614785076,3.980430624,8.71554896
HCC392,Tumor,2.844442299,6.110599086,10.32186179,3.330589519,10.44171962
HCC393,Tumor,3.260861213,3.177686624,8.70492064,6.924263712,5.65112523
HCC394,Tumor,2.829046622,4.444712448,3.120576556,2.199455944,4.809484611
HCC395,Tumor,2.141237236,3.076009686,7.780458187,6.24977884,1.276498296
HCC396,Tumor,3.472476464,3.326664326,3.472705069,0.991740779,12.59047527
HCC397,Tumor,1.389951663,4.420158713,9.005124507,3.996114554,3.254202591
HCC399,Tumor,2.161380474,0.911529761,8.354479578,1.114173764,17.61365662
HCC400,Tumor,1.622910678,4.501218679,8.500476012,1.38572148,9.555874793
HCC401,Tumor,2.172914692,2.028412498,6.207679886,1.493958791,11.89958437
HCC403,Tumor,0.84485884,2.586235358,9.725913502,3.89083042,4.999053821
HCC404,Tumor,1.3331867,5.160501869,8.621932111,4.740404718,-0.424516513
HCC405,Tumor,1.634392532,2.204691641,7.855749249,4.621341399,4.397321056
HCC409,Tumor,1.275893853,4.224096011,10.06766891,3.812476867,5.081143381
HCC410,Tumor,2.751943968,4.023771205,4.239688873,3.340219998,4.073638354
HCC412,Tumor,1.415245954,1.619342576,6.314651649,4.051859038,3.393747444
HCC413,Tumor,0.395158245,2.706118295,9.000708972,5.185712081,-1.235726564
HCC414,Tumor,0.967827448,5.883054281,11.14011604,6.154135598,-2.648690967
HCC415,Tumor,4.959305006,0.517837038,9.857639677,6.154257627,20.35816858
HCC416,Tumor,5.610326644,0.896354784,9.44757711,6.906464433,20.16078553
HCC417,Tumor,1.141224154,0.550335293,4.405248636,4.763493799,-0.70686901
HCC420,Tumor,3.402217909,3.080428963,8.281532377,5.693569921,8.681287308
HCC422,Tumor,4.379808564,1.398997686,4.299616129,6.360036876,7.819022395
HCC423,Tumor,0.362137687,4.107635985,11.91197801,0.167464552,12.76704242
HCC429,Tumor,0.568145959,2.166012241,8.102172421,1.357050845,8.037607032
HCC432,Tumor,3.98753207,3.995777912,8.456417424,0.102433732,23.3107209
HCC433,Tumor,2.414535534,5.25912256,8.125302318,0.050663284,14.38816652
HCC435,Tumor,1.107466929,5.024263822,7.3697501,1.27621733,5.165799261
HCC436,Tumor,2.228245192,4.077956563,2.636459897,0.494429948,6.128130605
